                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.53275,                0.39788,                0.78527,                0.92916,                0.97465,                0.98374,                0.82701,                 0.6099,                0.49793,                0.77028,             0.00026894,             0.00026894,             0.00026894
                     85,                0.58495,                0.39378,                0.77865,                0.92616,                0.98183,                0.98272,                0.83052,                0.60007,                0.50965,                0.77003,             0.00025479,             0.00025479,             0.00025479
                     86,                0.62642,                0.41783,                0.78057,                0.92612,                0.98182,                0.98308,                0.83074,                0.63026,                 0.5177,                0.77141,             0.00024064,             0.00024064,             0.00024064
                     87,                0.56902,                0.39118,                 0.7842,                  0.921,                0.98706,                0.97795,                0.82868,                0.60728,                0.49169,                0.77299,              0.0002265,              0.0002265,              0.0002265
                     88,                0.51653,                0.36232,                 0.7815,                0.92457,                0.98344,                0.96849,                0.81431,                0.60473,                0.48696,                0.77342,             0.00021235,             0.00021235,             0.00021235
                     89,                0.56627,                0.37975,                0.77564,                0.92453,                 0.9862,                0.96548,                0.81078,                0.62659,                0.49721,                0.77323,              0.0001982,              0.0001982,              0.0001982
                     90,                0.55555,                0.37812,                0.78349,                0.92591,                0.98553,                0.97223,                0.81796,                0.63493,                0.49026,                0.77267,             0.00018406,             0.00018406,             0.00018406
                     91,                0.53667,                0.40247,                0.77848,                0.92436,                0.98693,                0.97197,                0.82164,                0.60361,                0.47258,                0.77231,             0.00016991,             0.00016991,             0.00016991
                     92,                0.48113,                0.38659,                0.76571,                0.92376,                0.98693,                0.95857,                0.80827,                0.62624,                0.49256,                0.77217,             0.00015576,             0.00015576,             0.00015576
                     93,                0.53892,                0.40667,                0.76627,                0.92364,                0.98693,                0.95349,                0.79376,                0.64147,                0.50265,                0.77243,             0.00014161,             0.00014161,             0.00014161
                     94,                0.52593,                0.38126,                0.77082,                0.92357,                0.98693,                 0.9483,                0.79043,                0.62034,                0.49429,                0.77212,             0.00012747,             0.00012747,             0.00012747
                     95,                0.55506,                0.43769,                0.77417,                0.92411,                0.98693,                0.96628,                0.81308,                0.59578,                0.46715,                0.77198,             0.00011332,             0.00011332,             0.00011332
                     96,                0.58234,                 0.6772,                0.77324,                0.92506,                0.98693,                0.98367,                0.83185,                0.62121,                0.44694,                0.77299,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.56291,                0.47874,                0.77876,                0.94092,                0.97972,                 0.9866,                0.83302,                0.63057,                0.44101,                0.77354,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.51147,                0.36837,                 0.7809,                0.96151,                0.97996,                0.98856,                0.83379,                0.61961,                0.43418,                0.77326,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 0.4188,                 1.5581,                0.66239,                0.96805,                0.97445,                0.98904,                0.83546,                0.59624,                0.43204,                0.77212,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.51656,                0.38613,                0.77199,                0.96623,                0.96555,                0.98834,                0.83753,                0.58454,                0.43405,                0.77143,             4.2584e-05,             4.2584e-05,             4.2584e-05
